n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
8,3,1,4,88,cycle,basic,88,407,0.00149
10,3,2,0,150,cycle,basic,150,16,0.000305
12,3,2,2,252,cycle,basic,252,130,0.000398
14,3,2,4,378,cycle,basic,378,3269,0.013305
16,3,2,6,528,basic,basic,528,4066148,14.2528
5,4,1,0,20,cycle,basic,20,7,5.3e-05
6,4,1,1,36,cycle,basic,36,36,0.000139
7,4,1,2,56,cycle,basic,56,59,0.000227
8,4,1,3,80,cycle,basic,80,151,0.00044
9,4,1,4,108,cycle,basic,108,117,0.000364
10,4,1,5,140,cycle,basic,140,10044,0.078685
6,5,1,0,30,cycle,basic,30,11,7.6e-05
8,5,1,2,72,cycle,basic,72,309,0.000986
4,3,1,0,12,cycle,minmax,12,4,4.5e-05
6,3,1,2,42,cycle,minmax,42,22,0.000206
8,3,1,4,88,cycle,minmax,88,70,0.000794
10,3,2,0,150,cycle,minmax,150,16,0.000264
12,3,2,2,252,cycle,minmax,252,130,0.001795
14,3,2,4,378,cycle,minmax,378,1969,0.081887
16,3,2,6,528,cycle,basic,528,309137,1.03977
5,4,1,0,20,cycle,minmax,20,7,8.1e-05
6,4,1,1,36,cycle,minmax,36,36,0.000328
7,4,1,2,56,cycle,minmax,56,58,0.000521
8,4,1,3,80,cycle,minmax,80,101,0.001055
9,4,1,4,108,cycle,minmax,108,37,0.000759
10,4,1,5,140,cycle,minmax,140,520,0.007177
6,5,1,0,30,cycle,minmax,30,11,0.000127
8,5,1,2,72,cycle,minmax,72,308,0.002885
4,3,1,0,12,stree,basic,12,4,4.7e-05
6,3,1,2,42,stree,basic,42,9,5e-05
8,3,1,4,88,stree,basic,88,16,7.3e-05
10,3,2,0,150,stree,basic,150,16,8.6e-05
12,3,2,2,252,stree,basic,252,27,0.000114
14,3,2,4,378,stree,basic,378,58,0.000201
16,3,2,6,528,stree,basic,528,184,0.000677
5,4,1,0,20,stree,basic,20,7,6e-05
6,4,1,1,36,stree,basic,36,23,0.000102
7,4,1,2,56,stree,basic,56,45,0.000157
8,4,1,3,80,stree,basic,80,19,8.8e-05
9,4,1,4,108,stree,basic,108,38,0.000146
10,4,1,5,140,stree,basic,140,45,0.000167
6,5,1,0,30,stree,basic,30,11,0.000101
8,5,1,2,72,stree,basic,72,224,0.000709
4,3,1,0,12,stree,minmax,12,4,5.5e-05
6,3,1,2,42,stree,minmax,42,9,0.000107
