n,d,Q,R,sspl_lb,bdr,srt,mgr,sspl,edge,node,time
10,4,1,5,140,stree,basic,minmax,140,31,38,0.000526
11,4,1,6,176,stree,basic,minmax,176,39,63,0.000961
4,3,1,0,12,cycle,sorted,basic,12,3,4,3.4e-05
6,3,1,2,42,cycle,sorted,basic,42,8,20,7.4e-05
8,3,1,4,88,cycle,sorted,basic,88,19,116,0.000276
10,3,2,0,150,cycle,sorted,basic,150,15,16,8.5e-05
12,3,2,2,252,cycle,sorted,basic,252,26,60,0.000216
14,3,2,4,378,cycle,sorted,basic,378,43,1765,0.00538
11,4,1,6,176,cycle,basic,basic,176,43,316868,1.35005
5,4,1,0,20,cycle,sorted,basic,20,6,7,5.4e-05
6,4,1,1,36,cycle,sorted,basic,36,8,11,6.4e-05
7,4,1,2,56,cycle,sorted,basic,56,13,65,0.000195
8,4,1,3,80,cycle,sorted,basic,80,19,248,0.000707
9,4,1,4,108,cycle,sorted,basic,108,26,1004,0.002752
10,4,1,5,140,cycle,sorted,basic,140,34,6015,0.052036
16,3,2,6,528,cycle,sorted,basic,528,64,100368,0.487461
4,3,1,0,12,cycle,sorted,matrix,12,3,4,2.8e-05
6,3,1,2,42,cycle,sorted,matrix,42,8,19,0.000125
8,3,1,4,88,cycle,sorted,matrix,88,19,52,0.000436
10,3,2,0,150,cycle,sorted,matrix,150,15,16,0.000178
12,3,2,2,252,cycle,sorted,matrix,252,26,60,0.000924
11,4,1,6,176,cycle,sorted,basic,176,43,63018,0.304157
14,3,2,4,378,cycle,sorted,matrix,378,43,1000,0.056701
5,4,1,0,20,cycle,sorted,matrix,20,6,7,5e-05
6,4,1,1,36,cycle,sorted,matrix,36,8,11,8.6e-05
7,4,1,2,56,cycle,sorted,matrix,56,13,62,0.000397
16,3,2,6,528,cycle,sorted,matrix,528,64,4124,0.202661
8,4,1,3,80,cycle,sorted,matrix,80,19,169,0.00121
9,4,1,4,108,cycle,sorted,matrix,108,26,282,0.00389
10,4,1,5,140,cycle,sorted,matrix,140,34,555,0.005935
11,4,1,6,176,cycle,sorted,matrix,176,43,1098,0.022097
4,3,1,0,12,cycle,sorted,minmax,12,3,4,4.6e-05
6,3,1,2,42,cycle,sorted,minmax,42,8,19,0.00017
10,3,2,0,150,cycle,sorted,minmax,150,15,16,0.000251
8,3,1,4,88,cycle,sorted,minmax,88,19,52,0.000804
12,3,2,2,252,cycle,sorted,minmax,252,26,60,0.00087
14,3,2,4,378,cycle,sorted,minmax,378,43,1000,0.022261
5,4,1,0,20,cycle,sorted,minmax,20,6,7,8.1e-05
6,4,1,1,36,cycle,sorted,minmax,36,8,11,0.000126
7,4,1,2,56,cycle,sorted,minmax,56,13,62,0.001337
8,4,1,3,80,cycle,sorted,minmax,80,19,169,0.00183
9,4,1,4,108,cycle,sorted,minmax,108,26,282,0.003654
10,4,1,5,140,cycle,sorted,minmax,140,34,555,0.012826
11,4,1,6,176,cycle,sorted,minmax,176,43,1098,0.038008
4,3,1,0,12,basic,basic,basic,12,3,4,7.2e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000173
8,3,1,4,88,basic,basic,basic,88,21,642,0.001737
10,3,2,0,150,basic,basic,basic,150,15,16,8.9e-05
16,3,2,6,528,cycle,sorted,minmax,528,64,4124,0.276267
12,3,2,2,252,basic,basic,basic,252,28,76,0.000243
14,3,2,4,378,basic,basic,basic,378,45,3950,0.041156
5,4,1,0,20,basic,basic,basic,20,6,7,7.6e-05
6,4,1,1,36,basic,basic,basic,36,10,46,0.000161
7,4,1,2,56,basic,basic,basic,56,15,131,0.000362
8,4,1,3,80,basic,basic,basic,80,21,670,0.002598
9,4,1,4,108,basic,basic,basic,108,28,506,0.001355
10,4,1,5,140,basic,basic,basic,140,36,38126,0.319453
11,4,1,6,176,basic,basic,basic,176,45,797508,2.81965
4,3,1,0,12,basic,basic,matrix,12,3,4,3.1e-05
6,3,1,2,42,basic,basic,matrix,42,10,38,0.000258
8,3,1,4,88,basic,basic,matrix,88,21,78,0.0007
10,3,2,0,150,basic,basic,matrix,150,15,16,0.000176
12,3,2,2,252,basic,basic,matrix,252,28,70,0.001145
14,3,2,4,378,basic,basic,matrix,378,45,1300,0.073297
16,3,2,6,528,basic,basic,basic,528,66,4066148,14.4466
5,4,1,0,20,basic,basic,matrix,20,6,7,4.8e-05
6,4,1,1,36,basic,basic,matrix,36,10,46,0.000292
7,4,1,2,56,basic,basic,matrix,56,15,119,0.000777
8,4,1,3,80,basic,basic,matrix,80,21,390,0.003205
9,4,1,4,108,basic,basic,matrix,108,28,83,0.000822
16,3,2,6,528,basic,basic,matrix,528,66,76427,1.95349
10,4,1,5,140,basic,basic,matrix,140,36,938,0.020203
4,3,1,0,12,basic,basic,minmax,12,3,4,6.6e-05
6,3,1,2,42,basic,basic,minmax,42,10,38,0.000385
8,3,1,4,88,basic,basic,minmax,88,21,78,0.000862
10,3,2,0,150,basic,basic,minmax,150,15,16,0.000239
11,4,1,6,176,basic,basic,matrix,176,45,1563,0.085219
12,3,2,2,252,basic,basic,minmax,252,28,70,0.001517
14,3,2,4,378,basic,basic,minmax,378,45,1300,0.043589
5,4,1,0,20,basic,basic,minmax,20,6,7,0.000245
6,4,1,1,36,basic,basic,minmax,36,10,46,0.000425
7,4,1,2,56,basic,basic,minmax,56,15,119,0.002792
8,4,1,3,80,basic,basic,minmax,80,21,390,0.004206
9,4,1,4,108,basic,basic,minmax,108,28,83,0.001039
10,4,1,5,140,basic,basic,minmax,140,36,938,0.083581
11,4,1,6,176,basic,basic,minmax,176,45,1563,0.035255
4,3,1,0,12,cycle,basic,basic,12,3,4,4e-05
6,3,1,2,42,cycle,basic,basic,42,8,23,8.5e-05
8,3,1,4,88,cycle,basic,basic,88,19,501,0.001524
10,3,2,0,150,cycle,basic,basic,150,15,16,9.3e-05
12,3,2,2,252,cycle,basic,basic,252,26,130,0.00051
