n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,sspl,n_edge,n_state,time
25,4,2,8,1300,stree,basic,minmax,1300,182,1035,0.041455
26,4,2,9,1430,stree,basic,minmax,1430,201,1492,0.072199
27,4,2,10,1566,stree,basic,minmax,1566,221,1491,0.107183
28,4,2,11,1708,stree,basic,minmax,1708,242,4382,0.238597
29,4,2,12,1856,stree,basic,minmax,1856,264,13969,0.589488
30,4,2,13,2010,stree,basic,minmax,2010,287,8162,0.389115
4,3,1,0,12,stree,basic,matrix,12,3,4,3.5e-05
6,3,1,2,42,stree,basic,matrix,42,8,9,5.9e-05
8,3,1,4,88,stree,basic,matrix,88,13,15,0.000109
10,3,2,0,150,stree,basic,matrix,150,15,16,0.000147
12,3,2,2,252,stree,basic,matrix,252,26,27,0.000409
14,3,2,4,378,stree,basic,matrix,378,41,51,0.000848
16,3,2,6,528,stree,basic,matrix,528,60,69,0.001347
18,3,2,8,702,stree,basic,matrix,702,62,100,0.002291
20,3,2,10,900,stree,basic,matrix,900,64,147,0.003766
22,3,3,0,1122,stree,basic,matrix,0,66,12195,0.413255
18,4,2,1,558,stree,basic,matrix,0,77,1329149,24.56
24,3,3,2,1416,stree,basic,matrix,1416,89,830,0.075874
28,3,3,6,2100,stree,basic,matrix,2100,147,10575,0.558046
16,4,1,11,416,stree,basic,minmax,0,64,626551,13.0604
5,4,1,0,20,stree,basic,matrix,20,6,7,5.1e-05
6,4,1,1,36,stree,basic,matrix,36,9,23,0.000141
7,4,1,2,56,stree,basic,matrix,56,13,45,0.000249
8,4,1,3,80,stree,basic,matrix,80,18,19,0.000144
9,4,1,4,108,stree,basic,matrix,108,24,32,0.000256
10,4,1,5,140,stree,basic,matrix,140,31,38,0.000348
11,4,1,6,176,stree,basic,matrix,176,39,63,0.000688
12,4,1,7,216,stree,basic,matrix,216,48,88,0.001218
13,4,1,8,260,stree,basic,matrix,260,58,128,0.001642
14,4,1,9,308,stree,basic,matrix,308,60,245441,3.39123
15,4,1,10,360,stree,basic,matrix,360,62,606,0.015817
26,3,3,4,1742,stree,basic,matrix,1742,116,234299,9.80505
17,4,2,0,476,stree,basic,matrix,0,66,13502,0.30112
30,3,3,8,2490,stree,basic,matrix,2490,182,249621,13.7429
19,4,2,2,646,stree,basic,matrix,646,89,100,0.002398
16,4,1,11,416,stree,basic,matrix,0,64,626551,10.3194
20,4,2,3,740,stree,basic,matrix,740,102,125067,2.98849
22,4,2,5,946,stree,basic,matrix,946,131,899,0.073338
23,4,2,6,1058,stree,basic,matrix,1058,147,209,0.007072
24,4,2,7,1176,stree,basic,matrix,1176,164,240,0.008095
25,4,2,8,1300,stree,basic,matrix,1300,182,1035,0.056686
26,4,2,9,1430,stree,basic,matrix,1430,201,1492,0.138609
27,4,2,10,1566,stree,basic,matrix,1566,221,1491,0.115301
28,4,2,11,1708,stree,basic,matrix,1708,242,4382,0.238774
